date,open,high,low,close,volume,Name
1/1/2013,834.65,840.9,832,832.95,1181027,HDFC
2/1/2013,837,849.9,837,846.6,2530696,HDFC
3/1/2013,849.85,850.9,841,845.5,1876311,HDFC
4/1/2013,845,845,828.55,837.7,2043109,HDFC
7/1/2013,842,842,819.75,822.95,2017590,HDFC
8/1/2013,823,843.1,822.85,840.3,1812479,HDFC
9/1/2013,840.1,845,827,830,2634749,HDFC
10/1/2013,835,835.45,820.2,825.5,2070735,HDFC
11/1/2013,827,830.55,807,809.5,1732119,HDFC
14/01/2013,810.1,834.5,805.05,827.05,1606929,HDFC
15/01/2013,830,832.5,818.2,825.5,1896195,HDFC
16/01/2013,826,832,815.4,818.85,1412832,HDFC
17/01/2013,820,820.8,805.55,807.6,3216138,HDFC
18/01/2013,810.8,825.8,808.75,822.7,2486485,HDFC
21/01/2013,826.5,827.3,808.5,812.5,2478734,HDFC
22/01/2013,811,816.7,806.1,813.35,1304340,HDFC
23/01/2013,816.8,824.5,814.05,820.85,1622650,HDFC
24/01/2013,817.15,821.9,804.75,807.65,1456875,HDFC
25/01/2013,807.8,811.65,795.2,805.85,2213190,HDFC
28/01/2013,809,813,796.35,801.7,2799611,HDFC
29/01/2013,801.05,808.7,792.35,802.5,3887598,HDFC
30/01/2013,806,806.45,792.95,797.15,1650024,HDFC
31/01/2013,794,802.75,784.55,786.55,2753902,HDFC
1/2/2013,787,790,773.8,777.95,2585707,HDFC
4/2/2013,782.4,802,780,798.25,2623535,HDFC
5/2/2013,791.55,800.9,791.5,797.4,1755998,HDFC
6/2/2013,803.5,818,802.9,807.75,3296270,HDFC
7/2/2013,805,821.75,801.85,810.65,2239647,HDFC
8/2/2013,808.5,820.9,805.15,808.8,1193807,HDFC
11/2/2013,809.1,810.85,796.35,800.2,1884674,HDFC
12/2/2013,800,806.9,795.25,800.4,1626711,HDFC
13/02/2013,805,817.3,802.65,815,2833733,HDFC
14/02/2013,813,820.5,809.65,816.2,2234677,HDFC
15/02/2013,813,820.25,809,812.1,1799707,HDFC
18/02/2013,812,827,805.65,824.45,1646991,HDFC
19/02/2013,824.8,828.4,818,823.45,1009849,HDFC
20/02/2013,826.9,828.3,815.55,819.6,1520492,HDFC
21/02/2013,815,820,811.3,815.05,1910813,HDFC
22/02/2013,811,811.95,791,799.85,2776078,HDFC
25/02/2013,802,810.35,793,802.05,2342812,HDFC
26/02/2013,800,800,765.95,771.55,3054510,HDFC
27/02/2013,775.25,788.2,775,779.35,2791737,HDFC
28/02/2013,781.1,787.3,750,757.65,5699724,HDFC
1/3/2013,757,782.5,756,777.5,3069695,HDFC
4/3/2013,771.25,782.15,768.4,773.8,2996969,HDFC
5/3/2013,776.35,785.8,768.85,773.1,3283252,HDFC
6/3/2013,775.2,780,766.35,774.3,1724891,HDFC
7/3/2013,771.05,786.35,767.15,782.05,1172991,HDFC
8/3/2013,788.85,816,786.35,813.25,2909910,HDFC
11/3/2013,813.25,835.9,813.25,831.65,4448888,HDFC
12/3/2013,832.5,838.55,819.1,823.8,2338597,HDFC
13/03/2013,818,820.9,805.2,809.2,1187124,HDFC
14/03/2013,806.25,820,797.75,814.1,3594813,HDFC
15/03/2013,815.15,831.5,812.8,817.3,3180451,HDFC
18/03/2013,807,816,806,810.1,1361589,HDFC
19/03/2013,814.4,814.85,779.65,784.55,3612409,HDFC
20/03/2013,790.8,795.85,776.95,780.4,4001852,HDFC
21/03/2013,780,812.75,778.05,797.9,3606383,HDFC
22/03/2013,795,806.1,789.6,796.4,2652295,HDFC
25/03/2013,811.9,818.9,801.2,806.2,3742041,HDFC
26/03/2013,804.1,827.5,804.1,824.2,3355398,HDFC
28/03/2013,828.7,830,805.2,826.25,3393019,HDFC
1/4/2013,826.8,835.4,817.95,825.2,1514565,HDFC
2/4/2013,826.35,827.5,812.6,817.25,1303041,HDFC
3/4/2013,817,817.25,803.05,811.65,1555063,HDFC
4/4/2013,805,808.45,789.15,792.35,1416731,HDFC
5/4/2013,787.45,789.9,763.1,770.8,2879146,HDFC
8/4/2013,770,778.95,756.75,758.2,1174876,HDFC
9/4/2013,766,775,750.1,752.95,1754228,HDFC
10/4/2013,760,788,755.25,783.15,3306254,HDFC
11/4/2013,778.75,782,759.2,763.6,3921034,HDFC
12/4/2013,765.1,772.8,761.8,764.8,3041673,HDFC
15/04/2013,766.9,790,766.1,774.9,2806499,HDFC
16/04/2013,777,807.3,772.4,803.7,2266442,HDFC
17/04/2013,806,817.2,785.55,790.4,3284433,HDFC
18/04/2013,795,821,795,818.25,3193433,HDFC
22/04/2013,819,839,816.95,835.6,2115449,HDFC
23/04/2013,838,844.8,823.65,838.1,1225389,HDFC
25/04/2013,843.5,885.4,838.55,862.75,5182930,HDFC
26/04/2013,862.95,879.1,857.7,872.6,2560119,HDFC
29/04/2013,870.05,874.5,858,864.2,1634522,HDFC
30/04/2013,863.6,870.55,843.65,847.6,2710730,HDFC
2/5/2013,845.65,870.9,845.65,863.45,2976406,HDFC
3/5/2013,859.8,862,845.2,854.9,2059570,HDFC
6/5/2013,858,861.35,845.5,852.65,1186405,HDFC
7/5/2013,854.25,860.8,841.3,853.75,3260999,HDFC
8/5/2013,859.75,895,852,885,3070552,HDFC
9/5/2013,893,900.85,876.3,880.35,2182837,HDFC
10/5/2013,880,882.15,863.1,877.3,2659090,HDFC
11/5/2013,875,880,869.35,874.5,76194,HDFC
13/05/2013,875,876.8,859.6,863.5,1652780,HDFC
14/05/2013,864.7,873,855.25,870.85,2017078,HDFC
