date,open,high,low,close,volume,Name
3/27/2018,499,499,455,476.850006,91036634,BANDHANBNK
3/28/2018,463.850006,478.899994,463,469.049988,12056881,BANDHANBNK
4/2/2018,474.899994,485,472,475.700012,5239378,BANDHANBNK
4/3/2018,474,485.899994,469.149994,483.450012,2796977,BANDHANBNK
4/4/2018,484.600006,488.799988,478,486.049988,2459030,BANDHANBNK
4/5/2018,490,514.900024,487.299988,509.200012,8163440,BANDHANBNK
4/6/2018,512.5,517.700012,505.200012,508.25,1844654,BANDHANBNK
4/9/2018,508.799988,519.900024,496.049988,514.450012,2656272,BANDHANBNK
4/10/2018,515,520.799988,510.200012,518.650024,1731872,BANDHANBNK
4/11/2018,519.900024,535,513,533.5,3555719,BANDHANBNK
4/12/2018,530,540.799988,526.099976,534.75,1884412,BANDHANBNK
4/13/2018,533,536.950012,526.400024,528.650024,1057977,BANDHANBNK
4/16/2018,523.900024,532.349976,516.099976,518.799988,760439,BANDHANBNK
4/17/2018,520,521.400024,500,505.100006,1156139,BANDHANBNK
4/18/2018,508,513.5,501,504.149994,815508,BANDHANBNK
4/19/2018,505.200012,508.899994,502,505.100006,589106,BANDHANBNK
4/20/2018,505.100006,510.5,493.100006,495.049988,949874,BANDHANBNK
4/23/2018,496,504.299988,481.75,498.350006,2474228,BANDHANBNK
4/24/2018,500,502.299988,486,489.850006,1200876,BANDHANBNK
4/25/2018,490.049988,497.100006,485.25,494.299988,1313604,BANDHANBNK
4/26/2018,497.100006,501.399994,491.100006,495,1878261,BANDHANBNK
4/27/2018,498.799988,522.950012,498.5,506.450012,5635987,BANDHANBNK
4/30/2018,509.5,515.900024,502.700012,513.450012,1461600,BANDHANBNK
5/2/2018,513,520.900024,511,515.849976,1319363,BANDHANBNK
5/3/2018,511.950012,515,496.399994,502.049988,861937,BANDHANBNK
5/4/2018,503,506,500.5,504.600006,1078225,BANDHANBNK
5/7/2018,507,508,492.649994,494.5,764766,BANDHANBNK
5/8/2018,496.950012,497,490,494.350006,568372,BANDHANBNK
5/9/2018,492,495.25,485.299988,488.600006,505802,BANDHANBNK
5/10/2018,490,493.899994,484.049988,486.450012,251959,BANDHANBNK
