,date,close,high,low,open,volume,change_in_price,down_days,up_days,RSI,low_14,high_14,k_percent,r_percent,MACD,MACD_EMA,Price_Rate_Of_Change,On Balance Volume,Name
13,18-01-2013,822.7,825.8,808.75,810.8,2486485,15.1,0,15.1,48.20656702,805.05,850.9,38.49509269,-61.50490731,-2.532759018,-1.850398982,-0.000303785,-10463189,HDFC
14,21-01-2013,812.5,827.3,808.5,826.5,2478734,-10.2,10.2,0,41.12982749,805.05,850.9,16.24863686,-83.75136314,-2.879037813,-2.063629117,-0.033083423,-12941923,HDFC
15,22-01-2013,813.35,816.7,806.1,811,1304340,0.85,0,0.85,41.94923811,805.05,850.9,18.10250818,-81.89749182,-3.054053432,-2.267451057,-0.020060241,-11637583,HDFC
16,23-01-2013,820.85,824.5,814.05,816.8,1622650,7.5,0,7.5,49.15448952,805.05,845,39.5494368,-60.4505632,-2.685492548,-2.352985418,-0.00563295,-10014933,HDFC
17,24-01-2013,807.65,821.9,804.75,817.15,1456875,-13.2,13.2,0,39.25893195,804.75,845,7.204968944,-92.79503106,-3.202524989,-2.526010271,-0.002285361,-11471808,HDFC
18,25-01-2013,805.85,811.65,795.2,807.8,2213190,-1.8,1.8,0,38.05356599,795.2,845,21.38554217,-78.61445783,-3.676384196,-2.759449266,-0.025633275,-13684998,HDFC
19,28-01-2013,801.7,813,796.35,809,2799611,-4.15,4.15,0,35.18013091,795.2,845,13.05220884,-86.94779116,-4.267761063,-3.064630121,-0.028831012,-16484609,HDFC
20,29-01-2013,802.5,808.7,792.35,801.05,3887598,0.8,0,0.8,36.2508371,792.35,835.45,23.54988399,-76.45011601,-4.620596572,-3.378720383,-0.019967027,-12597011,HDFC
21,30-01-2013,797.15,806.45,792.95,806,1650024,-5.35,5.35,0,32.15265957,792.35,834.5,11.38790036,-88.61209964,-5.197567581,-3.74519392,-0.012939574,-14247035,HDFC
22,31-01-2013,786.55,802.75,784.55,794,2753902,-10.6,10.6,0,25.54945976,784.55,834.5,4.004004004,-95.995996,-6.303560382,-4.259905533,-0.043940683,-17000937,HDFC
23,01-02-2013,777.95,790,773.8,787,2585707,-8.6,8.6,0,21.42952312,773.8,832.5,7.069846678,-92.93015332,-7.679381604,-4.947045675,-0.042523077,-19586644,HDFC
24,04-02-2013,798.25,802,780,782.4,2623535,20.3,0,20.3,45.40653153,773.8,832,42.01030928,-57.98969072,-7.248009915,-5.408983676,-0.018565193,-16963109,HDFC
25,05-02-2013,797.4,800.9,791.5,791.55,1755998,-0.85,0.85,0,44.74679829,773.8,827.3,44.11214953,-55.88785047,-6.886951969,-5.70547342,-0.028567948,-18719107,HDFC
26,06-02-2013,807.75,818,802.9,803.5,3296270,10.35,0,10.35,54.11381546,773.8,827.3,63.45794393,-36.54205607,-5.791532067,-5.722726865,0.000123816,-15422837,HDFC
27,07-02-2013,810.65,821.75,801.85,805,2239647,2.9,0,2.9,56.49809774,773.8,827.3,68.87850467,-31.12149533,-4.662533839,-5.510277323,0.005956444,-13183190,HDFC
28,08-02-2013,808.8,820.9,805.15,808.5,1193807,-1.85,1.85,0,54.41681778,773.8,824.5,69.03353057,-30.96646943,-3.860790489,-5.179868673,0.008856181,-14376997,HDFC
29,11-02-2013,800.2,810.85,796.35,809.1,1884674,-8.6,8.6,0,45.43849449,773.8,824.5,52.07100592,-47.92899408,-3.814708353,-4.906498193,-0.002866044,-16261671,HDFC
30,12-02-2013,800.4,806.9,795.25,800,1626711,0.2,0,0.2,45.67899133,773.8,821.9,55.3014553,-44.6985447,-3.719891823,-4.668941654,0.004077024,-14634960,HDFC
31,13-02-2013,815,817.3,802.65,805,2833733,14.6,0,14.6,60.38644812,773.8,821.75,85.92283629,-14.07716371,-2.528064755,-4.24042677,0.036170619,-11801227,HDFC
32,14-02-2013,816.2,820.5,809.65,813,2234677,1.2,0,1.2,61.37814552,773.8,821.75,88.42544317,-11.57455683,-1.478448741,-3.68768082,0.049167684,-9566550,HDFC
33,15-02-2013,812.1,820.25,809,813,1799707,-4.1,4.1,0,55.86469663,773.8,821.75,79.87486966,-20.12513034,-0.946044952,-3.13907547,0.017350454,-11366257,HDFC
34,18-02-2013,824.45,827,805.65,812,1646991,12.35,0,12.35,66.36555616,773.8,827,95.20676692,-4.793233083,0.405552225,-2.42986224,0.033922749,-9719266,HDFC
35,19-02-2013,823.45,828.4,818,824.8,1009849,-1,1,0,64.92239701,773.8,828.4,90.93406593,-9.065934066,1.382929484,-1.667056351,0.019436707,-10729115,HDFC
36,20-02-2013,819.6,828.3,815.55,826.9,1520492,-3.85,3.85,0,59.20331708,773.8,828.4,83.88278388,-16.11721612,1.840895574,-0.965283775,0.011040523,-12249607,HDFC
37,21-02-2013,815.05,820,811.3,815,1910813,-4.55,4.55,0,52.85424747,780,828.4,72.41735537,-27.58264463,1.833025486,-0.405505662,0.007727498,-14160420,HDFC
38,22-02-2013,799.85,811.95,791,811,2776078,-15.2,15.2,0,37.3957723,791,828.4,23.6631016,-76.3368984,0.648709528,-0.194627586,-0.000437391,-16936498,HDFC
39,25-02-2013,802.05,810.35,793,802,2342812,2.2,0,2.2,40.31122772,791,828.4,29.54545455,-70.45454545,-0.117652181,-0.179230458,0.002061469,-14593686,HDFC
40,26-02-2013,771.55,800,765.95,800,3054510,-30.5,30.5,0,23.10163652,765.95,828.4,8.967173739,-91.03282626,-3.053655823,-0.75417667,-0.053312883,-17648196,HDFC
41,27-02-2013,779.35,788.2,775,775.25,2791737,7.8,0,7.8,31.70513788,765.95,828.4,21.45716573,-78.54283427,-4.717586795,-1.546926134,-0.045148248,-14856459,HDFC
42,28-02-2013,757.65,787.3,750,781.1,5699724,-21.7,21.7,0,23.32724756,750,828.4,9.757653061,-90.24234694,-7.638896117,-2.765403056,-0.067048393,-20556183,HDFC
43,01-03-2013,777.5,782.5,756,757,3069695,19.85,0,19.85,40.04804717,750,828.4,35.07653061,-64.92346939,-8.304801188,-3.873343005,-0.056947056,-17486488,HDFC
44,04-03-2013,773.8,782.15,768.4,771.25,2996969,-3.7,3.7,0,38.25381018,750,828.4,30.35714286,-69.64285714,-9.017739719,-4.902267163,-0.0602951,-20483457,HDFC
45,05-03-2013,773.1,785.8,768.85,776.35,3283252,-0.7,0.7,0,37.88330816,750,828.4,29.46428571,-70.53571429,-9.527152283,-5.827276419,-0.056734993,-23766709,HDFC
46,06-03-2013,774.3,780,766.35,775.2,1724891,1.2,0,1.2,39.05096131,750,828.4,30.99489796,-69.00510204,-9.723726775,-6.606588214,-0.049996933,-22041818,HDFC
47,07-03-2013,782.05,786.35,767.15,771.05,1172991,7.75,0,7.75,46.53964882,750,828.4,40.88010204,-59.11989796,-9.162461985,-7.117774368,-0.022254173,-20868827,HDFC
48,08-03-2013,813.25,816,786.35,788.85,2909910,31.2,0,31.2,65.96490098,750,828.4,80.67602041,-19.32397959,-6.182352997,-6.930686756,0.013964217,-17958917,HDFC
