datetime,open,high,low,close,volume,Name
01-01-2013,341.05,342.55,339.83,342.25,2014606,HDFCBANK
02-01-2013,344.95,345,341.52,343.67,4854798,HDFCBANK
03-01-2013,345,345,340.2,341.67,4571366,HDFCBANK
04-01-2013,342.5,342.5,336.4,339.67,5442254,HDFCBANK
07-01-2013,341.85,341.85,333,334.1,5502284,HDFCBANK
08-01-2013,334,336.7,332.85,335.13,4942598,HDFCBANK
09-01-2013,336,336.27,333.02,333.75,6435982,HDFCBANK
10-01-2013,334.75,339,333.25,337.9,4565184,HDFCBANK
11-01-2013,338.45,338.45,333.35,334.65,5141714,HDFCBANK
14-01-2013,334.08,335.25,333.55,334.65,5694874,HDFCBANK
15-01-2013,335.4,337.73,332.5,334.15,4131688,HDFCBANK
16-01-2013,332.77,334.6,328.8,330.25,4575378,HDFCBANK
17-01-2013,328.85,335.42,327.02,333.4,6422072,HDFCBANK
18-01-2013,335,337,327.65,331.42,10112346,HDFCBANK
21-01-2013,330,331.7,327.38,329.27,5427360,HDFCBANK
22-01-2013,329.25,330.5,323.77,326.88,4243064,HDFCBANK
23-01-2013,328.5,331.5,327.17,328.3,3539870,HDFCBANK
24-01-2013,327.8,331.38,327.63,330.15,3073980,HDFCBANK
25-01-2013,330.15,333.5,327.77,332.52,2794866,HDFCBANK
28-01-2013,332.63,336,332.23,335.17,3684010,HDFCBANK
29-01-2013,335.38,335.45,325,326.23,5980874,HDFCBANK
30-01-2013,326.5,329.2,322,328.33,5019816,HDFCBANK
31-01-2013,328.3,328.95,320.05,321.52,6944192,HDFCBANK
01-02-2013,322.4,322.42,318.1,320.08,5242072,HDFCBANK
04-02-2013,320.58,324.75,320,323.45,5237900,HDFCBANK
05-02-2013,318.17,323.6,318.17,322.08,3730010,HDFCBANK
06-02-2013,323.3,323.45,318.6,319.75,4936794,HDFCBANK
07-02-2013,318.15,321.5,317.27,320.75,4541418,HDFCBANK
08-02-2013,320.25,326.7,320.25,325.02,9413328,HDFCBANK
11-02-2013,325,329.98,325,328.48,7583530,HDFCBANK
12-02-2013,327.83,333.5,327.83,332.6,7916418,HDFCBANK
13-02-2013,331.65,333.7,329.75,332.1,7254416,HDFCBANK
14-02-2013,332,339.2,331,337.4,8842076,HDFCBANK
15-02-2013,335.85,340.4,334.1,338.38,6244390,HDFCBANK
18-02-2013,339,340.45,337,338,4734582,HDFCBANK
19-02-2013,337.25,338.7,335.77,337.4,1187406,HDFCBANK
20-02-2013,338.75,340.4,337.45,338.48,3430842,HDFCBANK
21-02-2013,337.5,338.73,332.02,333.13,5435936,HDFCBANK
22-02-2013,331.1,333.2,328.77,329.65,3854192,HDFCBANK
25-02-2013,331.63,332.6,327.05,328.23,3776472,HDFCBANK
26-02-2013,327.4,331.5,322.7,325.63,5871320,HDFCBANK
27-02-2013,326.15,327,320.45,321.38,6435668,HDFCBANK
28-02-2013,323.48,327.48,309.67,312.67,13943502,HDFCBANK
01-03-2013,312.5,314.8,308.15,311.25,8610364,HDFCBANK
04-03-2013,310.17,315.15,309,313.83,5984900,HDFCBANK
05-03-2013,315.45,317.35,311.58,316.48,5278790,HDFCBANK
06-03-2013,317.48,318.58,314.5,315.25,5466658,HDFCBANK
07-03-2013,314.17,321.48,313.58,320.9,2975492,HDFCBANK
08-03-2013,322.1,330,321.7,328.65,5298430,HDFCBANK
11-03-2013,328.65,329.85,325.13,327.63,4252292,HDFCBANK
12-03-2013,326.5,327.85,320.05,322,3447862,HDFCBANK
13-03-2013,320.52,322.95,316.1,317.45,3956686,HDFCBANK
14-03-2013,317.45,326.75,307.67,324.63,15957218,HDFCBANK
15-03-2013,322.5,324.95,316.9,319.7,7719804,HDFCBANK
18-03-2013,316.5,327,315,321.65,8780962,HDFCBANK
19-03-2013,321.5,321.9,312,315.77,10014230,HDFCBANK
20-03-2013,316,316.73,310.5,312.75,5668218,HDFCBANK
21-03-2013,311.33,314.4,301.88,303.5,7226294,HDFCBANK
22-03-2013,304.5,307.3,301.3,302.63,14762950,HDFCBANK
25-03-2013,305.5,306.67,303.77,304.7,13599488,HDFCBANK
26-03-2013,303,308.75,301.27,307.25,6637202,HDFCBANK
28-03-2013,308.25,315.58,303.48,312.67,9748046,HDFCBANK
01-04-2013,312.33,314.5,310.5,311.92,3354386,HDFCBANK
02-04-2013,312.5,317.15,308.95,314.95,3428710,HDFCBANK
