datetime,open,high,low,close,volume,Name
01-01-2013,326.48,328.45,324.38,324.98,1333394,KOTAKBANK
02-01-2013,327,332.25,326.1,328.45,2438580,KOTAKBANK
03-01-2013,329.98,331.7,326.33,327.45,1129910,KOTAKBANK
04-01-2013,328.92,328.92,323.33,325.1,981878,KOTAKBANK
07-01-2013,325.55,326.92,322.7,324.23,1315748,KOTAKBANK
08-01-2013,323.73,327.42,321.5,326.38,1210174,KOTAKBANK
09-01-2013,325.17,328.08,323.75,324.55,1564842,KOTAKBANK
10-01-2013,326.55,330.85,324.67,326.92,1500882,KOTAKBANK
11-01-2013,326.63,329,313.95,315,1156538,KOTAKBANK
14-01-2013,315.98,316.5,311.45,314.27,1554824,KOTAKBANK
15-01-2013,314,318.25,308.73,314.83,2218002,KOTAKBANK
16-01-2013,315.35,316.5,311.05,312.3,1211202,KOTAKBANK
17-01-2013,312,315,310.17,313.95,1246610,KOTAKBANK
18-01-2013,313.13,315.25,309.6,314.88,4759994,KOTAKBANK
21-01-2013,313.75,317.4,313.1,315.48,1937992,KOTAKBANK
22-01-2013,315.48,323.77,313.63,320.38,5739338,KOTAKBANK
23-01-2013,327.15,327.15,319.23,322.52,1676538,KOTAKBANK
24-01-2013,321.5,327.48,321,326.52,2022512,KOTAKBANK
25-01-2013,326.33,333.9,324.35,332.6,1912722,KOTAKBANK
28-01-2013,334,336.5,332.55,334.02,1239864,KOTAKBANK
29-01-2013,334,339.42,331.17,337.35,4811142,KOTAKBANK
30-01-2013,338,342.4,335.15,339.4,5821600,KOTAKBANK
31-01-2013,338.5,341.75,338.5,340.17,2622468,KOTAKBANK
01-02-2013,340.23,342.52,333.45,336.15,1296168,KOTAKBANK
04-02-2013,336.13,340.5,334.35,338.35,1982222,KOTAKBANK
05-02-2013,336,341.5,335.5,340.23,1033282,KOTAKBANK
06-02-2013,340.63,348.6,340.55,347.58,2454062,KOTAKBANK
07-02-2013,344.6,347.75,342.52,343.8,1015184,KOTAKBANK
08-02-2013,342.5,344.48,337.33,339.17,1148422,KOTAKBANK
11-02-2013,340.75,340.75,334.13,335.9,1150442,KOTAKBANK
12-02-2013,336,337.4,334.05,335.67,605824,KOTAKBANK
13-02-2013,337,339.2,332.5,333.88,769292,KOTAKBANK
14-02-2013,334.48,336.48,330.6,332.7,556802,KOTAKBANK
15-02-2013,332.25,337,332.05,335.17,274626,KOTAKBANK
18-02-2013,335.9,336,331.35,332.9,268550,KOTAKBANK
19-02-2013,332.9,338.5,332.75,337.4,255876,KOTAKBANK
20-02-2013,338.25,339.77,333.13,334.02,599716,KOTAKBANK
21-02-2013,332.9,334.5,329,330.15,1132794,KOTAKBANK
22-02-2013,329.5,335.23,328.73,332.63,939868,KOTAKBANK
25-02-2013,333.55,333.55,327,330.33,909170,KOTAKBANK
26-02-2013,328.05,332.35,328.05,330.67,863956,KOTAKBANK
27-02-2013,331.5,332.25,324.67,326.75,1275732,KOTAKBANK
28-02-2013,327.45,332.35,324.5,329.8,4172416,KOTAKBANK
01-03-2013,327.27,329.73,325.27,327.42,2430450,KOTAKBANK
04-03-2013,327.05,328.75,324.52,327.52,2647642,KOTAKBANK
