datetime,open,high,low,close,volume,Name
01-01-2013,93.35,95.7,93.21,95.4,5381019,YESBANK
02-01-2013,95.79,97.92,95.77,97.57,9784679,YESBANK
03-01-2013,97.4,99.39,97.4,98.44,11175969,YESBANK
04-01-2013,98.4,98.81,97.6,97.81,6492539,YESBANK
07-01-2013,97.81,100.28,97.81,99.65,12424669,YESBANK
08-01-2013,99.6,100.2,98.75,99.93,8237424,YESBANK
09-01-2013,100,101.98,100,100.84,13271734,YESBANK
10-01-2013,101.21,103.36,100.6,103.09,11726304,YESBANK
11-01-2013,103.3,103.31,99.3,99.68,20748980,YESBANK
14-01-2013,99.8,101.92,99,101.3,12428019,YESBANK
15-01-2013,101.2,106.5,101.2,105.59,24333504,YESBANK
16-01-2013,106.2,109,103.33,103.61,35973648,YESBANK
17-01-2013,103.22,105.76,102,104.78,23747744,YESBANK
18-01-2013,104.82,105.35,102.98,103.4,14648144,YESBANK
21-01-2013,103.6,104.2,102.11,102.34,9755404,YESBANK
22-01-2013,102.2,103.8,99,101.78,10474484,YESBANK
23-01-2013,101.87,103.39,100.3,102.89,9589034,YESBANK
24-01-2013,102.81,103.2,101.15,101.56,8815274,YESBANK
25-01-2013,101.59,101.74,98.95,100.85,13114409,YESBANK
28-01-2013,101.24,105.06,101.2,104.71,15045004,YESBANK
29-01-2013,105.18,105.2,102.01,102.29,25670720,YESBANK
30-01-2013,102.67,104.49,102.2,104,15270779,YESBANK
31-01-2013,104.01,104.76,103.41,104.43,7798359,YESBANK
01-02-2013,104.43,107.32,103.82,106.47,17842708,YESBANK
04-02-2013,106.6,107.78,104.59,104.96,8342664,YESBANK
05-02-2013,104.8,104.96,102.26,102.78,9497324,YESBANK
06-02-2013,103,103.73,100.62,102.28,12926094,YESBANK
07-02-2013,102.4,103.2,100.66,101.58,8800419,YESBANK
08-02-2013,101.02,102.77,101.02,101.93,8289904,YESBANK
11-02-2013,102.4,103.68,101.6,103.34,8514844,YESBANK
12-02-2013,103.39,104.6,102.94,104.43,7132354,YESBANK
