date,open,high,low,close,volume,Name
1/1/2013,273.94,274.3,272.1,272.54,3343609,AXISBANK
2/1/2013,274.23,278.88,273.33,277.37,7168224,AXISBANK
3/1/2013,278.8,279.3,276.65,277.99,4750194,AXISBANK
4/1/2013,276.49,277.39,274,275.79,6262899,AXISBANK
7/1/2013,277,277.54,273.1,274.57,5715849,AXISBANK
8/1/2013,273.76,273.8,268.61,272.06,6090609,AXISBANK
9/1/2013,270.45,272.39,268.82,269.93,7885124,AXISBANK
10/1/2013,271.8,275.36,269.1,273.6,6859364,AXISBANK
11/1/2013,274.42,274.81,271.25,272.82,6571214,AXISBANK
14/01/2013,273.42,278.18,272.31,277.22,6571909,AXISBANK
15/01/2013,278.8,286.2,278,284.86,16987060,AXISBANK
16/01/2013,286,286,280.63,281.89,11828784,AXISBANK
17/01/2013,282.25,283.8,278.82,281.28,7200689,AXISBANK
18/01/2013,282,283.1,276.04,277.61,7017899,AXISBANK
21/01/2013,277.03,278.34,274.15,277.09,3664364,AXISBANK
22/01/2013,277,281.16,276.08,278.68,5190574,AXISBANK
23/01/2013,280.4,281.4,276.09,279.68,6408854,AXISBANK
24/01/2013,280.24,281.8,277.31,279.26,9840849,AXISBANK
25/01/2013,278.6,280.36,275.98,277.25,8283304,AXISBANK
28/01/2013,276.2,286.78,275.17,282.59,18608064,AXISBANK
29/01/2013,283.26,300.71,283.2,295.09,45463864,AXISBANK
30/01/2013,295.5,303.21,295.36,300.25,24852048,AXISBANK
31/01/2013,298.98,302,297.99,301.03,13102854,AXISBANK
1/2/2013,300.22,303,297.32,301.93,7404404,AXISBANK
4/2/2013,301.6,303,295,295.54,5841719,AXISBANK
5/2/2013,294.06,297.7,290.62,291.83,8722174,AXISBANK
6/2/2013,293.57,294,291.23,292.02,6597649,AXISBANK
7/2/2013,291.42,296.4,291.2,292.11,8690949,AXISBANK
8/2/2013,291.8,294.17,289.11,290.16,11111939,AXISBANK
11/2/2013,290.65,299.8,290.65,298.82,26647504,AXISBANK
12/2/2013,299.2,300.88,294.4,296.59,10861284,AXISBANK
13/02/2013,297.02,298.53,294.59,295.51,4442119,AXISBANK
14/02/2013,296.25,296.85,285,286.46,13542894,AXISBANK
15/02/2013,286.4,290.97,284.02,289.86,8538209,AXISBANK
18/02/2013,289.8,289.8,285,286.41,5429679,AXISBANK
19/02/2013,287.01,289.15,285,287.88,3680464,AXISBANK
20/02/2013,289.38,290.94,287.11,287.88,3343454,AXISBANK
21/02/2013,284.42,286.92,279.8,280.96,8804449,AXISBANK
22/02/2013,281.04,284.4,280.82,282.38,5496944,AXISBANK
25/02/2013,281.47,283.28,278.54,280.23,6046379,AXISBANK
26/02/2013,280.2,280.2,272.1,273.55,5333689,AXISBANK
27/02/2013,273.72,282,273.72,280,7968094,AXISBANK
28/02/2013,282.15,283.4,266.79,268.83,13401879,AXISBANK
1/3/2013,269,275.6,263.77,272.74,13593629,AXISBANK
4/3/2013,271.69,276.67,269.41,273.78,7328044,AXISBANK
5/3/2013,275,281.75,274.94,280.64,7799154,AXISBANK
6/3/2013,282.1,282.99,278,280.43,8063054,AXISBANK
7/3/2013,278.01,281.34,276.7,280.66,5472034,AXISBANK
8/3/2013,282,283.6,280.48,281.4,5903449,AXISBANK
11/3/2013,282.2,285.54,278.35,280.24,8740049,AXISBANK
12/3/2013,279.8,280.38,275.6,276.95,5098544,AXISBANK
13/03/2013,275,275.6,267.21,269.34,8087884,AXISBANK
14/03/2013,268.6,273,259.8,270.56,18084214,AXISBANK
15/03/2013,269.24,272.8,263.4,267.97,16501409,AXISBANK
18/03/2013,262.6,267.28,259.8,265.02,11670099,AXISBANK
19/03/2013,265.2,267.33,256.28,264.3,11476594,AXISBANK
20/03/2013,262.4,264.2,258.19,259.85,7643164,AXISBANK
21/03/2013,260.25,267.8,256.4,262.34,8629119,AXISBANK
22/03/2013,262.6,265.48,258.5,260.01,6679939,AXISBANK
25/03/2013,263.6,266.89,260.01,261.87,7280339,AXISBANK
26/03/2013,260.98,261,257.42,258.84,6651169,AXISBANK
28/03/2013,259.6,262.24,255.41,260.14,6827559,AXISBANK
1/4/2013,260.25,263.7,259.2,262.98,4906714,AXISBANK
2/4/2013,263.98,264,258.62,260.27,5734519,AXISBANK
3/4/2013,260.38,263.2,254.24,255.63,8463624,AXISBANK
4/4/2013,253.2,254,248.02,248.77,6417704,AXISBANK
5/4/2013,248.09,249.87,243.44,245.91,6484049,AXISBANK
8/4/2013,245.3,247.6,239.6,240.64,4864419,AXISBANK
9/4/2013,242.07,247.96,239.76,240.64,7490494,AXISBANK
10/4/2013,242.96,248.57,240,247.86,10046764,AXISBANK
11/4/2013,249.31,250.98,246.2,250.43,9714179,AXISBANK
12/4/2013,248,255.4,246.9,252.86,7911224,AXISBANK
15/04/2013,251.2,262.27,250.8,258.84,7689699,AXISBANK
16/04/2013,257.3,273.8,256.55,272.66,11987859,AXISBANK
17/04/2013,274.36,290,273.23,275.44,9186544,AXISBANK
18/04/2013,273.94,287.38,271,285.88,11300879,AXISBANK
22/04/2013,287.1,296.8,286.84,288.23,13252894,AXISBANK
23/04/2013,289,291.02,282.63,288.96,7340649,AXISBANK
25/04/2013,294.2,304,290.6,300.68,19391754,AXISBANK
26/04/2013,298,299.98,293.42,297.27,10489964,AXISBANK
29/04/2013,297.2,297.2,292.05,295.08,6561784,AXISBANK
30/04/2013,297.4,300.2,291.6,298.54,9010944,AXISBANK
2/5/2013,297.02,305.75,296.79,303.2,10775589,AXISBANK
3/5/2013,302.6,302.6,293.4,294.96,9326474,AXISBANK
6/5/2013,293.4,294.37,289,291.95,6739099,AXISBANK
7/5/2013,292.4,301.4,291.82,300.79,7357169,AXISBANK
8/5/2013,301.2,302.81,294.15,297.94,4865504,AXISBANK
9/5/2013,297.6,297.6,289.52,290.83,15607599,AXISBANK
10/5/2013,290,294.94,289.2,293.98,7711834,AXISBANK
11/5/2013,294,295.67,292.26,294.49,360399,AXISBANK
13/05/2013,293,299.6,289.22,290.4,10233899,AXISBANK
14/05/2013,291,294.38,289.02,293.5,6341929,AXISBANK
15/05/2013,293.6,302.99,293.6,301.74,8367594,AXISBANK
16/05/2013,300.46,308,300.29,306.18,5787369,AXISBANK
17/05/2013,306,308.19,303,307.05,6127864,AXISBANK
20/05/2013,307.74,309.98,304.91,305.94,7109684,AXISBANK
21/05/2013,305.05,309,303,304.11,4457134,AXISBANK
