date,open,high,low,close,volme,Name
1/1/2013,208.42,211.24,207.82,210.61,7229938,ICICIBANK
2/1/2013,212.71,213.98,211.8,213.43,10346231,ICICIBANK
3/1/2013,213.99,214.16,211.85,213.08,9035241,ICICIBANK
4/1/2013,213.23,215.41,211.81,214.96,12766401,ICICIBANK
7/1/2013,215.98,215.98,213.98,214.91,9684960,ICICIBANK
8/1/2013,214.37,214.89,212.75,214.44,8640015,ICICIBANK
9/1/2013,214.21,215.96,213.38,214.61,19802096,ICICIBANK
10/1/2013,215.66,215.98,211.12,214.43,12069960,ICICIBANK
11/1/2013,215.25,215.32,210.72,211.53,9228293,ICICIBANK
14/01/2013,211.8,216.71,211.8,215.46,14895499,ICICIBANK
15/01/2013,215.11,220.19,213.45,218.95,17998596,ICICIBANK
16/01/2013,218.95,219.43,213.87,214.5,18082396,ICICIBANK
17/01/2013,214.02,215.83,210.56,211.34,13616533,ICICIBANK
18/01/2013,211.89,215.65,211.89,213.83,18632468,ICICIBANK
21/01/2013,214.52,214.97,211.8,214.08,9208954,ICICIBANK
22/01/2013,213.83,217.22,211.62,212.73,10434119,ICICIBANK
23/01/2013,213.61,216.71,211.18,214.71,7833029,ICICIBANK
24/01/2013,214.5,215.73,210.45,211.71,12886005,ICICIBANK
25/01/2013,212.74,214.52,211.54,213.24,8370450,ICICIBANK
28/01/2013,213.36,217.14,213.1,216.39,15776940,ICICIBANK
29/01/2013,217.41,223.25,214.89,218.38,27679312,ICICIBANK
30/01/2013,219.07,222.26,218.86,220.47,16931208,ICICIBANK
31/01/2013,219.43,223.98,215.67,216.55,38538464,ICICIBANK
1/2/2013,217.07,218.76,212.28,212.92,13834438,ICICIBANK
4/2/2013,215.25,218.67,214.16,214.84,21577232,ICICIBANK
5/2/2013,211.98,214.4,211.26,211.99,12409812,ICICIBANK
6/2/2013,213.25,213.25,209.22,210.02,10559713,ICICIBANK
7/2/2013,209.5,212.15,206.62,208.13,16023101,ICICIBANK
8/2/2013,208.35,209.02,204.49,205.46,13065340,ICICIBANK
11/2/2013,205.85,206.22,203.08,204.11,12922441,ICICIBANK
12/2/2013,203.89,206.16,202.54,205.22,14742408,ICICIBANK
13/02/2013,206.71,208.42,205.69,207.72,18684096,ICICIBANK
14/02/2013,208.71,209.03,203.73,204.74,11743299,ICICIBANK
15/02/2013,204.71,205.62,202,203.95,10180274,ICICIBANK
18/02/2013,204.42,205.43,203.53,203.98,8439085,ICICIBANK
19/02/2013,204.21,206.16,202.63,205.69,9650736,ICICIBANK
20/02/2013,206.52,206.86,203.38,203.9,8424883,ICICIBANK
21/02/2013,202.21,202.59,195.62,196.27,18341600,ICICIBANK
22/02/2013,195.81,199.8,195.81,198.63,12276973,ICICIBANK
25/02/2013,199.8,200.32,196.56,198.87,13711071,ICICIBANK
26/02/2013,197.8,197.95,191.35,193.44,11044603,ICICIBANK
27/02/2013,194.44,197.97,194.34,196.92,14731143,ICICIBANK
28/02/2013,198.53,199.03,187.25,189.14,37426416,ICICIBANK
1/3/2013,191.89,193.99,190.44,192.04,19072436,ICICIBANK
4/3/2013,191.71,194.5,190.29,192.46,16476825,ICICIBANK
5/3/2013,194.53,199.73,193.86,198.82,21052364,ICICIBANK
6/3/2013,201.57,201.8,199.25,201.5,19995538,ICICIBANK
7/3/2013,200.36,204.02,199.62,203.1,13693888,ICICIBANK
8/3/2013,203.47,207.76,203.47,207.12,15787579,ICICIBANK
11/3/2013,208.29,209.32,204.89,205.79,16294289,ICICIBANK
12/3/2013,205.43,206.85,202.71,204.18,13390252,ICICIBANK
13/03/2013,202.51,202.65,196.83,197.38,14725818,ICICIBANK
14/03/2013,197.62,202.89,192.71,201.92,32876968,ICICIBANK
15/03/2013,200.18,200.51,191.98,194.07,39015240,ICICIBANK
18/03/2013,191.07,191.93,188.24,191.14,23567116,ICICIBANK
19/03/2013,193.8,194.87,185.64,187.73,34787120,ICICIBANK
20/03/2013,187.44,188.12,181.17,182.08,18852392,ICICIBANK
21/03/2013,184.27,192.57,183.83,188.23,36066576,ICICIBANK
22/03/2013,189.62,190.71,184.98,186.95,20360780,ICICIBANK
25/03/2013,189.14,190.64,183.41,184.09,15004157,ICICIBANK
26/03/2013,182.41,186.71,182.19,185.6,14913305,ICICIBANK
28/03/2013,186.35,192.04,182.91,190.02,30693690,ICICIBANK
1/4/2013,192.16,192.71,188.8,191.17,11419982,ICICIBANK
2/4/2013,191.38,191.63,188.92,190.33,8499702,ICICIBANK
3/4/2013,190.72,193.21,186.4,187.51,14164339,ICICIBANK
4/4/2013,185.21,185.98,182.27,183.4,18868056,ICICIBANK
5/4/2013,183.4,183.4,179.07,181.46,28821604,ICICIBANK
8/4/2013,180.84,182.73,179.49,179.82,12106638,ICICIBANK
9/4/2013,181.17,185.39,178.75,179.99,20903276,ICICIBANK
10/4/2013,181.35,183.13,178.47,182.58,22696280,ICICIBANK
11/4/2013,186.33,190.71,186.21,189.11,30181732,ICICIBANK
12/4/2013,187.45,191.05,186.58,190.04,11154685,ICICIBANK
15/04/2013,188.62,194.33,187.53,190.36,20938068,ICICIBANK
16/04/2013,189.98,197.25,189.87,196.14,31684774,ICICIBANK
17/04/2013,196.54,202.08,196.54,199.55,26782782,ICICIBANK
18/04/2013,196.71,204.92,196.71,204.1,20988564,ICICIBANK
22/04/2013,204.56,210.83,202.97,208.79,19839146,ICICIBANK
23/04/2013,209.07,211.78,204.46,211.12,22459960,ICICIBANK
25/04/2013,212.72,215.98,211.25,214.04,34178768,ICICIBANK
26/04/2013,213.16,216.12,204.52,208.07,38872772,ICICIBANK
29/04/2013,209.09,210.89,206.07,209.65,12109933,ICICIBANK
30/04/2013,210.43,213.07,207.63,211.55,16339174,ICICIBANK
2/5/2013,210.92,215.8,210.89,213.02,15254724,ICICIBANK
3/5/2013,212.28,212.71,203.96,205.42,21830632,ICICIBANK
6/5/2013,204.98,208.89,201.66,207.73,13609421,ICICIBANK
7/5/2013,207.8,213.07,207.62,211.61,16101814,ICICIBANK
8/5/2013,212.71,213.76,208.27,210.52,13113816,ICICIBANK
9/5/2013,210.89,211.82,207.94,209.55,8673794,ICICIBANK
10/5/2013,209.62,212.69,209.13,211.86,10692914,ICICIBANK
11/5/2013,211.07,213.07,211.07,212.33,448068,ICICIBANK
13/05/2013,211.07,213.89,208.21,208.85,10485103,ICICIBANK
14/05/2013,209.62,212.08,207.6,208.61,11399553,ICICIBANK
15/05/2013,209.61,217.94,209.43,216.57,19775406,ICICIBANK
16/05/2013,215.43,221.61,215.4,219.52,16554542,ICICIBANK
17/05/2013,219.09,224.87,218.71,223.7,15431038,ICICIBANK
20/05/2013,223.42,224.41,218.81,219.94,15074372,ICICIBANK
21/05/2013,219.94,224.74,218.56,220.16,13732446,ICICIBANK
22/05/2013,220.89,223.07,218.97,220,14562204,ICICIBANK
23/05/2013,218.16,219.32,211.3,213.12,18464376,ICICIBANK
24/05/2013,215.69,220.11,214.11,218.91,14108409,ICICIBANK
27/05/2013,218.89,222.71,217.21,221.69,13688998,ICICIBANK
28/05/2013,222.43,225.14,221.78,223.97,14967656,ICICIBANK
29/05/2013,223.61,224.07,219.63,220.87,11425384,ICICIBANK
30/05/2013,217.25,217.7,213.12,215.03,23900092,ICICIBANK
31/05/2013,214.71,216.12,208.71,209.88,18193216,ICICIBANK
3/6/2013,209.07,210.52,206.28,208.19,13597551,ICICIBANK
4/6/2013,209.07,212.01,206.29,206.92,12806847,ICICIBANK
5/6/2013,207.23,208.12,203.62,206.23,14969047,ICICIBANK
6/6/2013,205.07,211.4,204.17,209.91,10284014,ICICIBANK
7/6/2013,208.52,210.49,207.02,207.56,13128294,ICICIBANK
10/6/2013,208.34,210.49,201.63,203.22,16824604,ICICIBANK
11/6/2013,201.25,202.33,195.13,195.71,31929900,ICICIBANK
12/6/2013,194.57,197.98,194.31,196.57,17973338,ICICIBANK
13/06/2013,194.53,196.96,193.8,194.32,14673684,ICICIBANK
14/06/2013,197.6,200.79,195.43,200.37,19642062,ICICIBANK
17/06/2013,199.98,201.04,196.36,200.24,14559597,ICICIBANK
18/06/2013,199.42,199.88,197.26,198.33,10464108,ICICIBANK
19/06/2013,197.58,198.34,195.98,197.56,7688794,ICICIBANK
20/06/2013,194.16,194.16,188.47,190.19,26146056,ICICIBANK
21/06/2013,188.38,190.89,186.55,189.95,22566556,ICICIBANK
24/06/2013,188.44,191.62,187.12,190.74,22073744,ICICIBANK
25/06/2013,191.8,192.07,186.92,187.77,28839588,ICICIBANK
26/06/2013,189.04,190.31,185.67,186.55,22168206,ICICIBANK
27/06/2013,189.25,189.8,186.38,187.35,34652860,ICICIBANK
28/06/2013,190.53,195.64,189.8,194.66,26629156,ICICIBANK
1/7/2013,193.19,195.23,192.53,194.14,11800747,ICICIBANK
2/7/2013,194.64,197.07,194.28,196.18,15843959,ICICIBANK
3/7/2013,193,194.84,192.02,193.44,18529076,ICICIBANK
4/7/2013,193.44,194.49,190.2,193.38,16178321,ICICIBANK
5/7/2013,195.25,195.8,190.72,191.17,15905972,ICICIBANK
8/7/2013,188.07,188.87,185.64,186.88,19364218,ICICIBANK
9/7/2013,188.89,189.44,186.45,188.04,21261468,ICICIBANK
10/7/2013,188.52,190.89,188.16,188.81,11912023,ICICIBANK
11/7/2013,192.21,195.19,190.88,192.34,11953167,ICICIBANK
12/7/2013,194.18,194.25,191.16,192.78,10988965,ICICIBANK
15/07/2013,191.98,193.51,191,192.9,10011192,ICICIBANK
16/07/2013,188.16,188.34,181.27,182.43,35239112,ICICIBANK
17/07/2013,183.42,183.92,176.01,178.21,33013894,ICICIBANK
18/07/2013,178.16,180.26,173.33,178.97,40806104,ICICIBANK
19/07/2013,178.89,179.75,173.49,174.4,29804774,ICICIBANK
22/07/2013,174.53,177.7,173.87,177.15,14670312,ICICIBANK
23/07/2013,179.98,180.74,178.66,179.92,19864064,ICICIBANK
24/07/2013,176.71,176.71,171.39,173.04,25524696,ICICIBANK
25/07/2013,171.07,173.06,168.68,169.96,29549322,ICICIBANK
26/07/2013,171.63,173.02,167.14,169.36,24791424,ICICIBANK
29/07/2013,169.2,171.06,167.82,168.82,17055124,ICICIBANK
30/07/2013,169.3,171.68,167.8,168.36,23379702,ICICIBANK
31/07/2013,168.16,168.16,162.18,165.27,42766188,ICICIBANK
1/8/2013,168.53,168.53,162.17,166.2,29566528,ICICIBANK
2/8/2013,166.89,167.23,160.75,161.27,32472528,ICICIBANK
5/8/2013,161.97,165.35,157.78,164.07,13766682,ICICIBANK
6/8/2013,162.89,162.89,156.82,157.5,24010528,ICICIBANK
7/8/2013,157.8,159.93,156.44,157.85,24656374,ICICIBANK
8/8/2013,158.17,160.76,156.76,159.08,23884376,ICICIBANK
12/8/2013,160.8,162.05,156.64,157.63,31442712,ICICIBANK
13/08/2013,156,163.19,154.73,162.27,22998668,ICICIBANK
14/08/2013,162.71,166.16,161.17,164.7,24327716,ICICIBANK
16/08/2013,162.53,162.97,155.62,156.09,34701732,ICICIBANK
19/08/2013,156.64,156.64,147.26,148.23,32647326,ICICIBANK
20/08/2013,144.89,151.78,143.42,150.97,36941288,ICICIBANK
21/08/2013,157.86,159.99,146.12,150.81,63679356,ICICIBANK
22/08/2013,150.35,151.9,145.8,151.09,41858356,ICICIBANK
23/08/2013,151.98,157.44,149.33,155.08,43214368,ICICIBANK
26/08/2013,154.99,156.03,149.28,150.98,36178888,ICICIBANK
27/08/2013,148.88,149.8,145.44,145.91,39925128,ICICIBANK
28/08/2013,143.99,147.01,137.6,144.78,43593336,ICICIBANK
29/08/2013,148.06,148.71,144.09,146.75,30348728,ICICIBANK
30/08/2013,147.41,150.42,144.8,146.12,81393824,ICICIBANK
2/9/2013,148,151.38,147.09,150.28,25279048,ICICIBANK
3/9/2013,151.62,151.62,141.18,142.45,31507848,ICICIBANK
4/9/2013,142.46,149.5,141.8,148.67,31396132,ICICIBANK
5/9/2013,157.62,164.99,157.15,162.47,48908864,ICICIBANK
6/9/2013,163.93,175.22,163.93,174.24,57735648,ICICIBANK
10/9/2013,175.07,178.53,174.72,176.27,38765960,ICICIBANK
11/9/2013,175.44,177.78,172.38,176.3,20024058,ICICIBANK
12/9/2013,174.33,174.35,170.94,172.93,25475054,ICICIBANK
