date,open,high,low,close,volume,Name
1/1/2013,419.95,425.85,419.2,423.25,692672,INDUSINDBK
2/1/2013,430,437.45,426.4,433,1082815,INDUSINDBK
3/1/2013,438.4,442,425,434.3,984021,INDUSINDBK
4/1/2013,434.25,434.7,428.8,430.75,829178,INDUSINDBK
7/1/2013,432.5,438.65,430.05,431.35,1531894,INDUSINDBK
8/1/2013,435,437.5,430.7,433.75,2077309,INDUSINDBK
9/1/2013,436.15,440.8,430.95,434.55,3191463,INDUSINDBK
10/1/2013,439.2,444.9,436.5,441.2,1898534,INDUSINDBK
11/1/2013,442,443.6,427.95,431.05,845876,INDUSINDBK
14/01/2013,431.95,441.9,427,440.15,1276400,INDUSINDBK
15/01/2013,440.2,444.35,438.6,441.9,1160466,INDUSINDBK
16/01/2013,440.4,442.5,429,430,1249626,INDUSINDBK
17/01/2013,430,436.55,424.45,426.65,678827,INDUSINDBK
18/01/2013,428.8,428.8,416.1,419.95,940541,INDUSINDBK
21/01/2013,418.8,423.3,407.6,413.1,1714760,INDUSINDBK
22/01/2013,412.95,419.9,410.65,417.7,2866392,INDUSINDBK
23/01/2013,418.5,426.5,416.95,424.65,838754,INDUSINDBK
24/01/2013,426.25,433.5,424.15,430.55,1969798,INDUSINDBK
25/01/2013,430.4,433.9,423.6,431.5,608814,INDUSINDBK
28/01/2013,431.5,434,428.4,432.5,723886,INDUSINDBK
29/01/2013,432.55,432.55,422.05,430.7,1148562,INDUSINDBK
30/01/2013,430.4,436.95,430.4,434.85,625954,INDUSINDBK
31/01/2013,435.9,439.2,432.95,435.8,629457,INDUSINDBK
1/2/2013,434.8,443,431.7,438.3,856437,INDUSINDBK
4/2/2013,442.45,443.6,433,435.15,610536,INDUSINDBK
5/2/2013,434,435.65,428.35,434.05,1173336,INDUSINDBK
6/2/2013,435.15,438.9,428.35,429.5,694532,INDUSINDBK
7/2/2013,428.45,434,428,430.95,1016207,INDUSINDBK
8/2/2013,430.8,432.95,417.45,424.8,1551033,INDUSINDBK
11/2/2013,425.6,430,424.3,428.55,909242,INDUSINDBK
12/2/2013,428.6,440.8,426.8,438.75,667446,INDUSINDBK
13/02/2013,439.95,447.55,438.15,440.65,1269537,INDUSINDBK
14/02/2013,446.55,449.7,438.3,441.3,1262820,INDUSINDBK
15/02/2013,442.85,442.85,435.45,439.85,420871,INDUSINDBK
18/02/2013,439.2,444.85,439.15,439.9,434170,INDUSINDBK
19/02/2013,438.15,444.85,436.05,442.7,447005,INDUSINDBK
20/02/2013,444.5,445.95,438.1,439.35,397050,INDUSINDBK
21/02/2013,440,441.65,426.25,428.1,543547,INDUSINDBK
22/02/2013,428.1,431.85,424.45,428.2,561286,INDUSINDBK
25/02/2013,434.7,434.7,423.55,426.2,618203,INDUSINDBK
26/02/2013,425.3,427.45,420.7,422.25,526337,INDUSINDBK
27/02/2013,422.2,427.9,418,426.4,843374,INDUSINDBK
28/02/2013,427.9,431.3,407.55,412,1256944,INDUSINDBK
1/3/2013,412.1,413.95,397.6,400.95,1388906,INDUSINDBK
4/3/2013,399,402.4,390.2,401,1628881,INDUSINDBK
5/3/2013,401.5,413.15,395,410.65,1487746,INDUSINDBK
6/3/2013,414,420.5,412.9,415.05,1186780,INDUSINDBK
7/3/2013,419,420.9,413,420.05,1099167,INDUSINDBK
8/3/2013,418.25,438,415.6,436.15,2199395,INDUSINDBK
11/3/2013,437.9,440.5,434.75,437.05,989106,INDUSINDBK
12/3/2013,438,438.3,423.65,431.6,891608,INDUSINDBK
13/03/2013,428.9,431.1,419.6,423.1,843879,INDUSINDBK
14/03/2013,415.2,433,415.2,431.15,914696,INDUSINDBK
15/03/2013,431.2,439.5,418.4,421.35,1358550,INDUSINDBK
18/03/2013,419.7,420.8,411.7,415.15,1096138,INDUSINDBK
19/03/2013,416.1,418.1,405,409.25,2217352,INDUSINDBK
20/03/2013,408,410.5,395.8,403.65,1220686,INDUSINDBK
21/03/2013,403.55,415,401.4,406.45,1488526,INDUSINDBK
22/03/2013,407.55,410.5,398.05,400.35,2051945,INDUSINDBK
25/03/2013,410,410,389.15,392.05,2013156,INDUSINDBK
26/03/2013,392.05,405.5,381.5,399.65,1527414,INDUSINDBK
28/03/2013,397.85,409.5,395.25,404.7,2930431,INDUSINDBK
1/4/2013,407.5,417.9,403.6,415.7,1441489,INDUSINDBK
2/4/2013,416.8,426.35,410.5,425.15,1371437,INDUSINDBK
3/4/2013,423.55,428.5,418.05,420.55,1288595,INDUSINDBK
4/4/2013,418.2,418.2,402.05,405.15,2162736,INDUSINDBK
5/4/2013,404.1,405.3,398.15,400.85,1357287,INDUSINDBK
8/4/2013,400.6,406.8,392.6,393.5,1898773,INDUSINDBK
9/4/2013,397.9,402.3,388.5,390.25,1325954,INDUSINDBK
10/4/2013,390.95,393.15,383.05,387.15,2785331,INDUSINDBK
11/4/2013,392,404.15,388.5,401.2,2565069,INDUSINDBK
