date,open,high,low,close,volume,Name
1/1/2013,240.49,243.41,239.76,242.65,17202300,SBIN
2/1/2013,245,246.4,243.81,245.06,14660119,SBIN
3/1/2013,246,248.24,243.62,247.16,20103088,SBIN
4/1/2013,246,249.29,245.06,248.67,13705949,SBIN
7/1/2013,249,249.9,246.18,246.76,10264489,SBIN
8/1/2013,246.8,250,246.3,249.34,16123869,SBIN
9/1/2013,249.4,254,249.4,252.28,22474108,SBIN
10/1/2013,253.99,255.17,252.25,253.91,21504648,SBIN
11/1/2013,254.9,255,248.32,249.11,14156719,SBIN
14/01/2013,249.1,251.99,247.52,249.98,17721580,SBIN
15/01/2013,250.5,251.74,247.02,248.99,12219329,SBIN
16/01/2013,248,249.35,242.4,243.24,14390079,SBIN
17/01/2013,242.55,248.24,242.3,246.99,14091239,SBIN
18/01/2013,248.5,251.76,247.81,249.21,16073729,SBIN
21/01/2013,249.5,251.14,249.01,249.94,11849059,SBIN
22/01/2013,249,250.9,245.44,246.44,12953999,SBIN
23/01/2013,247.1,249.21,245.21,248.04,15042749,SBIN
24/01/2013,248,248.44,244.06,245.91,17650268,SBIN
25/01/2013,245.97,252.48,244.8,251.37,12460929,SBIN
28/01/2013,252.5,253.38,248.3,249.16,18349860,SBIN
29/01/2013,249.06,253.5,245.51,246.24,46331240,SBIN
30/01/2013,247.7,248.7,242.66,243.61,23715288,SBIN
31/01/2013,243.6,245.66,241.61,243.8,25528120,SBIN
1/2/2013,243.1,245.21,240.1,241.24,14516809,SBIN
4/2/2013,241.75,242.93,234.5,235.26,18596648,SBIN
5/2/2013,235,238.06,232.81,237.15,22375348,SBIN
6/2/2013,238.5,238.79,234.2,234.87,13866579,SBIN
7/2/2013,233.4,236.4,232.01,232.66,13760529,SBIN
8/2/2013,232,234.29,227.61,228.61,17646648,SBIN
11/2/2013,228.99,231.19,227.74,229.44,14811359,SBIN
12/2/2013,230.1,230.76,227.88,229.64,13296819,SBIN
13/02/2013,230.2,232.32,224.25,225.47,27599120,SBIN
14/02/2013,225,226.9,217.5,221.57,60922460,SBIN
15/02/2013,220.7,224.77,220.51,223.35,21127420,SBIN
18/02/2013,223.5,226.88,223.5,226.27,18380120,SBIN
19/02/2013,226.89,228,223.7,227.35,13692359,SBIN
20/02/2013,228.5,228.71,224.66,225.21,16094269,SBIN
21/02/2013,223.94,224.29,220.01,221.06,19310508,SBIN
22/02/2013,221.1,222.54,219.01,219.6,18284308,SBIN
25/02/2013,221,223.9,220.11,222.09,16887440,SBIN
26/02/2013,220.8,221.6,218.86,219.84,16446359,SBIN
27/02/2013,221.24,223.26,219.7,221.34,14100299,SBIN
28/02/2013,223.4,223.67,205.1,208.09,58729588,SBIN
1/3/2013,208.7,210.9,206.6,208.76,21676800,SBIN
4/3/2013,208.74,210.86,207.65,209.95,18279980,SBIN
5/3/2013,211.2,213.9,208.14,212.86,19059400,SBIN
6/3/2013,214.1,217.49,213.65,216.86,21540748,SBIN
7/3/2013,216.23,217.2,214.51,216.61,11774639,SBIN
8/3/2013,217.73,221.9,217.61,220.95,19462340,SBIN
11/3/2013,220.94,222.1,219.36,220.47,14154809,SBIN
12/3/2013,220.7,222.8,218.31,220.69,21840368,SBIN
13/03/2013,219.7,221.81,217.12,217.94,21052580,SBIN
14/03/2013,217.9,226.15,216.52,225.51,33666128,SBIN
15/03/2013,226.4,227.38,223.75,226.2,22161680,SBIN
18/03/2013,223.77,225.92,223.34,224.98,11219239,SBIN
19/03/2013,226.6,226.97,217.01,220.36,40393960,SBIN
20/03/2013,219.95,220.96,211.03,212.04,23048180,SBIN
21/03/2013,212.6,215.9,208.03,211.94,32310360,SBIN
22/03/2013,212.32,213,207.6,208.4,20894740,SBIN
25/03/2013,212.49,212.51,205.29,205.82,22640640,SBIN
26/03/2013,205,206.79,202.71,205.03,16268369,SBIN
28/03/2013,204.89,208,203.1,207.28,18801120,SBIN
1/4/2013,208.5,209.79,206.65,209.06,11155369,SBIN
2/4/2013,208.22,214.8,207.56,214.04,15282509,SBIN
3/4/2013,213.63,215.69,209.06,210.46,23043560,SBIN
