datetime,open,high,low,close,volume,Name
06-11-2015,70.5,73.400002,67,70.400002,22781516,IDFCFIRSTB
09-11-2015,67.75,68,66.900002,66.949997,10010231,IDFCFIRSTB
10-11-2015,66.5,66.5,64.099998,64.550003,10736961,IDFCFIRSTB
13-11-2015,65.849998,65.849998,63,63.5,6771668,IDFCFIRSTB
16-11-2015,63.450001,65.5,62,65,5640610,IDFCFIRSTB
17-11-2015,65,65.900002,64.099998,64.699997,4900495,IDFCFIRSTB
18-11-2015,65,66.050003,64.099998,65.199997,2689568,IDFCFIRSTB
19-11-2015,65.949997,66,63.549999,63.849998,1688327,IDFCFIRSTB
20-11-2015,63.549999,66,63.5,65.199997,2689835,IDFCFIRSTB
23-11-2015,66.400002,66.900002,63.5,63.799999,5389969,IDFCFIRSTB
24-11-2015,63.5,64.400002,62.5,62.950001,3965947,IDFCFIRSTB
26-11-2015,62.900002,63.400002,61.5,61.650002,3270314,IDFCFIRSTB
27-11-2015,62.25,62.5,60.599998,61,11891846,IDFCFIRSTB
30-11-2015,61,61.299999,58.799999,59.099998,14279742,IDFCFIRSTB
01-12-2015,59.5,61,59.25,60,8080475,IDFCFIRSTB
02-12-2015,60.200001,61.75,59.900002,60.299999,3469139,IDFCFIRSTB
03-12-2015,60.25,61,60,60.549999,1759788,IDFCFIRSTB
04-12-2015,60.400002,60.950001,60.099998,60.5,2315577,IDFCFIRSTB
07-12-2015,60.150002,60.900002,59.200001,59.450001,2506784,IDFCFIRSTB
08-12-2015,59.5,59.700001,57.5,57.700001,5021161,IDFCFIRSTB
09-12-2015,57.5,57.75,54.900002,56.849998,3845559,IDFCFIRSTB
10-12-2015,56.849998,57.450001,54.900002,56.849998,4065888,IDFCFIRSTB
11-12-2015,57.5,57.900002,55.099998,55.299999,2150514,IDFCFIRSTB
14-12-2015,55.099998,56,54.049999,55.75,2469970,IDFCFIRSTB
15-12-2015,56.400002,56.400002,55.049999,55.5,1200925,IDFCFIRSTB
16-12-2015,56.299999,56.700001,55.5,56.049999,2565897,IDFCFIRSTB
17-12-2015,56.75,59.799999,56.349998,58.049999,4120544,IDFCFIRSTB
18-12-2015,57.900002,58.799999,56.799999,58.400002,1948073,IDFCFIRSTB
21-12-2015,58.099998,58.5,57.049999,57.450001,2030444,IDFCFIRSTB
22-12-2015,58.349998,59.5,57.299999,59.299999,3471327,IDFCFIRSTB
23-12-2015,59.950001,61.450001,59,59.299999,3113367,IDFCFIRSTB
24-12-2015,59.900002,61.200001,59,60.900002,1203837,IDFCFIRSTB
28-12-2015,61,61.349998,59.75,59.950001,1371121,IDFCFIRSTB
29-12-2015,59.5,62.25,59.5,61.849998,3266454,IDFCFIRSTB
30-12-2015,62,62.400002,61.25,61.5,1081847,IDFCFIRSTB
31-12-2015,62.400002,62.400002,60.25,60.849998,1207626,IDFCFIRSTB
01-01-2016,61.400002,61.400002,60.400002,60.700001,559738,IDFCFIRSTB
04-01-2016,61.200001,61.200001,58.75,58.950001,1386464,IDFCFIRSTB
05-01-2016,58.900002,59.900002,58.599998,59,719306,IDFCFIRSTB
06-01-2016,59,59.349998,57.450001,57.75,6064793,IDFCFIRSTB
07-01-2016,57.450001,57.450001,55.400002,55.900002,1830148,IDFCFIRSTB
08-01-2016,56.299999,56.700001,54.900002,55.099998,1605370,IDFCFIRSTB
11-01-2016,54.450001,54.950001,53.75,53.900002,2036154,IDFCFIRSTB
12-01-2016,54.450001,54.450001,52,52.349998,2404371,IDFCFIRSTB
13-01-2016,53.349998,53.349998,48.599998,51.299999,3746052,IDFCFIRSTB
14-01-2016,50.200001,50.950001,48.400002,48.700001,3748307,IDFCFIRSTB
15-01-2016,50,50,46,46.849998,3724209,IDFCFIRSTB
18-01-2016,46,47.200001,44.650002,45.049999,4818608,IDFCFIRSTB
19-01-2016,45.549999,46.5,44.349998,45.549999,2307643,IDFCFIRSTB
20-01-2016,45.900002,46.349998,43.099998,43.450001,4740748,IDFCFIRSTB
21-01-2016,44.5,45.400002,43.099998,43.450001,5008794,IDFCFIRSTB
22-01-2016,44.299999,47.049999,43.950001,46.049999,14500924,IDFCFIRSTB
25-01-2016,47.099998,48,46.650002,47.299999,1868903,IDFCFIRSTB
27-01-2016,48.599998,51,47.75,50.599998,2366639,IDFCFIRSTB
28-01-2016,52.200001,52.5,49.549999,50.75,3585050,IDFCFIRSTB
29-01-2016,50.950001,53,49.5,52.549999,3022242,IDFCFIRSTB
01-02-2016,52.950001,57.400002,52,56.75,4700070,IDFCFIRSTB
02-02-2016,58.400002,58.75,53.75,54.349998,4109847,IDFCFIRSTB
03-02-2016,54.349998,54.349998,51.200001,52.099998,4385867,IDFCFIRSTB
04-02-2016,52.650002,54.099998,52.650002,53.450001,1789226,IDFCFIRSTB
05-02-2016,53.799999,55.349998,53.599998,54.950001,8000086,IDFCFIRSTB
08-02-2016,55.400002,56.400002,54,54.400002,1943263,IDFCFIRSTB
09-02-2016,45,54,45,53.599998,2228896,IDFCFIRSTB
10-02-2016,52.599998,54,52.5,53.049999,2213310,IDFCFIRSTB
11-02-2016,52.849998,53,50.400002,50.75,2303896,IDFCFIRSTB
12-02-2016,51.299999,52,48.5,50.400002,7720654,IDFCFIRSTB
