datetime,open,high,low,close,volume,Name
31-08-2016,274.200012,305.5,274.200012,299.399994,79264509,RBLBANK
01-09-2016,302.5,316.5,302,305.149994,14699482,RBLBANK
02-09-2016,306.5,309,298.549988,301.25,4762383,RBLBANK
06-09-2016,303,310.25,300.600006,307.75,5777669,RBLBANK
07-09-2016,308.850006,312.799988,302.399994,304,4147204,RBLBANK
08-09-2016,306.5,308,303.649994,305.5,1509509,RBLBANK
09-09-2016,303.649994,303.649994,298.100006,298.799988,1570381,RBLBANK
12-09-2016,290.899994,299.75,287.600006,296.950012,1779353,RBLBANK
14-09-2016,299.100006,303.299988,296,296.950012,1148592,RBLBANK
15-09-2016,298,302.75,295,299.350006,1288230,RBLBANK
16-09-2016,300.600006,304.5,299.450012,301.799988,1559076,RBLBANK
19-09-2016,303,303.899994,299.25,301.350006,732837,RBLBANK
20-09-2016,301.350006,301.5,296.299988,297.149994,493343,RBLBANK
21-09-2016,298,301.899994,297.350006,300,512999,RBLBANK
22-09-2016,302.25,304,300.700012,302.149994,1107243,RBLBANK
23-09-2016,303,307.950012,301.399994,303.299988,1735881,RBLBANK
26-09-2016,303,303,299,302.200012,573498,RBLBANK
27-09-2016,303,303.5,298,298.899994,399580,RBLBANK
28-09-2016,300.5,304.450012,295.549988,297.549988,800367,RBLBANK
29-09-2016,298.899994,302.5,281.549988,285.899994,1238800,RBLBANK
30-09-2016,287,293.799988,286.049988,291.200012,678758,RBLBANK
03-10-2016,298.5,299.899994,295.200012,297.600006,770999,RBLBANK
04-10-2016,299.100006,299.950012,296.5,297.549988,638685,RBLBANK
05-10-2016,299.799988,299.899994,295,295.649994,629557,RBLBANK
06-10-2016,299,307.5,296,304.299988,2018179,RBLBANK
07-10-2016,305,315.450012,305,309.25,2853699,RBLBANK
10-10-2016,311.899994,314.899994,308.649994,313.100006,870931,RBLBANK
13-10-2016,310,311.399994,303.799988,306.25,634699,RBLBANK
14-10-2016,307,321.299988,306.399994,314.700012,2723451,RBLBANK
17-10-2016,316,316.450012,306,307.799988,1042365,RBLBANK
18-10-2016,309.350006,312.399994,303,307.450012,1410353,RBLBANK
19-10-2016,311.950012,316,311.899994,313.399994,1951746,RBLBANK
20-10-2016,322,335,316.700012,328.049988,14969063,RBLBANK
21-10-2016,328,332,322.5,328.549988,2572236,RBLBANK
24-10-2016,329.299988,334.899994,324.399994,333.600006,2301063,RBLBANK
25-10-2016,334,346,332.200012,344.5,2684845,RBLBANK
26-10-2016,345.799988,357,341.399994,353.450012,2416491,RBLBANK
27-10-2016,353.350006,367,343.649994,361.149994,2552663,RBLBANK
28-10-2016,364.799988,376,364.75,374.649994,3822219,RBLBANK
01-11-2016,396.200012,404.399994,393.200012,395.799988,4793590,RBLBANK
02-11-2016,390,390,381,382.049988,2677682,RBLBANK
